timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1725178685346,403,DeleteReqres,204,No Content,Konfigurasi beban 1-121,,true,,812,176,67,67,https://reqres.in/api/users/2,0,0,0
1725178685349,400,DeleteReqres,204,No Content,Konfigurasi beban 1-114,,true,,812,176,67,67,https://reqres.in/api/users/2,0,0,0
1725178685633,117,GetReqres,200,OK,Konfigurasi beban 1-172,text,true,,1941,159,67,67,https://reqres.in/api/users?page=2,116,0,43
1725178685361,389,DeleteReqres,204,No Content,Konfigurasi beban 1-119,,true,,812,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178685373,386,DeleteReqres,204,No Content,Konfigurasi beban 1-124,,true,,812,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178685362,397,DeleteReqres,204,No Content,Konfigurasi beban 1-117,,true,,812,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178685647,112,GetReqres,200,OK,Konfigurasi beban 1-173,text,true,,1932,159,65,65,https://reqres.in/api/users?page=2,112,0,48
1725178685368,483,PostReqres,201,Created,Konfigurasi beban 1-149,text,true,,942,223,69,69,https://reqres.in/api/users,483,0,0
1725178685239,612,DeleteReqres,204,No Content,Konfigurasi beban 1-110,,true,,812,176,69,69,https://reqres.in/api/users/2,0,0,0
1725178685361,490,DeleteReqres,204,No Content,Konfigurasi beban 1-123,,true,,812,176,69,69,https://reqres.in/api/users/2,0,0,0
1725178685239,612,PostReqres,201,Created,Konfigurasi beban 1-135,text,true,,942,223,69,69,https://reqres.in/api/users,612,0,0
1725178685239,612,DeleteReqres,204,No Content,Konfigurasi beban 1-111,,true,,812,176,69,69,https://reqres.in/api/users/2,0,0,0
1725178685415,439,DeleteReqres,204,No Content,Konfigurasi beban 1-128,,true,,812,176,66,66,https://reqres.in/api/users/2,0,0,0
1725178685410,444,PostReqres,201,Created,Konfigurasi beban 1-148,text,true,,942,223,66,66,https://reqres.in/api/users,444,0,0
1725178685662,192,GetReqres,200,OK,Konfigurasi beban 1-174,text,true,,1933,159,66,66,https://reqres.in/api/users?page=2,192,0,90
1725178685677,177,GetReqres,200,OK,Konfigurasi beban 1-175,text,true,,1933,159,66,66,https://reqres.in/api/users?page=2,177,0,75
1725178685387,467,PostReqres,201,Created,Konfigurasi beban 1-150,text,true,,942,223,66,66,https://reqres.in/api/users,467,0,0
1725178685429,432,DeleteReqres,204,No Content,Konfigurasi beban 1-127,,true,,812,176,66,66,https://reqres.in/api/users/2,0,0,0
